zero-12	12	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	00000000000000000000000000000000	abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon about
alternating-12	12	01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101	55555555555555555555555555555555	fetch primary fetch primary fetch primary fetch primary fetch primary fetch problem
zero-15	15	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000	abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon address
alternating-15	15	0101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101	5555555555555555555555555555555555555555	fetch primary fetch primary fetch primary fetch primary fetch primary fetch primary fetch primary feel
zero-18	18	000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	000000000000000000000000000000000000000000000000	abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon agent
alternating-18	18	010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101	555555555555555555555555555555555555555555555555	fetch primary fetch primary fetch primary fetch primary fetch primary fetch primary fetch primary fetch primary fetch program
zero-21	21	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	00000000000000000000000000000000000000000000000000000000	abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon admit
alternating-21	21	01010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101	55555555555555555555555555555555555555555555555555555555	fetch primary fetch primary fetch primary fetch primary fetch primary fetch primary fetch primary fetch primary fetch primary fetch primary feel
zero-24	24	0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon art
alternating-24	24	0101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101010101	5555555555555555555555555555555555555555555555555555555555555555	fetch primary fetch primary fetch primary fetch primary fetch primary fetch primary fetch primary fetch primary fetch primary fetch primary fetch primary fetch rack
msb-first	12	10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000	80000000000000000000000000000000	length abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon about
lsb-last	12	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001	00000000000000000000000000000001	abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon actual
ones-12	12	11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	ffffffffffffffffffffffffffffffff	zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo wrong
leading-zeros-12	12	00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111	0000000000000000000000000000000f	abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon abandon burger
ones-15	15	1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111	ffffffffffffffffffffffffffffffffffffffff	zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo zoo wrist
